Title,Link,Image Link,Rating,Price,Availability,category,UPC,p_type,price_exc_tax,price_inc_tax,tax,books_avail,No_of_reviews
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com//media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,Three,£57.25,In stock,Music,deda3e61b9514b83,Books,£57.25,£57.25,£0.00,19,0
Olio,https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com//media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,One,£23.88,In stock,Poetry,feb7cc7701ecf901,Books,£23.88,£23.88,£0.00,19,0
Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com//media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,£37.59,In stock,Science Fiction,e30f54cea9b38190,Books,£37.59,£37.59,£0.00,19,0
Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,https://books.toscrape.com//media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,Two,£51.33,In stock,Politics,a18a4f574854aced,Books,£51.33,£51.33,£0.00,19,0
It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com//media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,Two,£45.17,In stock,Travel,a22124811bfa8350,Books,£45.17,£45.17,£0.00,19,0
In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,https://books.toscrape.com//media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,One,£12.84,In stock,Thriller,23356462d1320d61,Books,£12.84,£12.84,£0.00,19,0
How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html,https://books.toscrape.com//media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,Two,£37.32,In stock,Music,327f68a59745c102,Books,£37.32,£37.32,£0.00,19,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,https://books.toscrape.com//media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,Three,£30.52,In stock,Food and Drink,5674a18a29a43ced,Books,£30.52,£30.52,£0.00,19,0
Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,https://books.toscrape.com//media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,Five,£25.27,In stock,Romance,c2e46a2ee3b4a322,Books,£25.27,£25.27,£0.00,19,0
Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html,https://books.toscrape.com//media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,Five,£34.53,In stock,Romance,00bfed9e18bb36f3,Books,£34.53,£34.53,£0.00,19,0
Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com//media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,Three,£54.64,In stock,Childrens,9528d0948525bf5f,Books,£54.64,£54.64,£0.00,19,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com//media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,Three,£22.50,In stock,Default,c7d160c2c0de586f,Books,£22.50,£22.50,£0.00,19,0
Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com//media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,Three,£53.13,In stock,Default,904208d6aa64b655,Books,£53.13,£53.13,£0.00,19,0
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com//media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,Five,£40.30,In stock,Nonfiction,4c28def39d850cdf,Books,£40.30,£40.30,£0.00,18,0
Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,https://books.toscrape.com//media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,Four,£44.18,In stock,Art,ccd9ffa25efabdea,Books,£44.18,£44.18,£0.00,18,0
The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,https://books.toscrape.com//media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,Five,£17.66,In stock,Spirituality,6258a1f6a6dcfe50,Books,£17.66,£17.66,£0.00,18,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com//media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,Three,£31.05,In stock,Nonfiction,3c039985229453bf,Books,£31.05,£31.05,£0.00,18,0
The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com//media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,Five,£23.82,In stock,Thriller,5dada2b7be26bd03,Books,£23.82,£23.82,£0.00,18,0
The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com//media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,One,£36.89,In stock,Childrens,9f6568e9c95f60b0,Books,£36.89,£36.89,£0.00,18,0
Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html,https://books.toscrape.com//media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,Five,£15.94,In stock,Philosophy,6be3beb0793a53e7,Books,£15.94,£15.94,£0.00,18,0
Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com//media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,Three,£33.29,In stock,Default,668fe56b17cfcd4f,Books,£33.29,£33.29,£0.00,18,0
Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com//media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,Two,£18.02,In stock,Default,094b269567e1c300,Books,£18.02,£18.02,£0.00,18,0
"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com//media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,One,£19.63,In stock,Mystery,19ed25f4641d5efd,Books,£19.63,£19.63,£0.00,18,0
Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com//media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,Four,£52.22,In stock,Thriller,be5cc846f45496fb,Books,£52.22,£52.22,£0.00,18,0
You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com//media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,Two,£33.63,In stock,Poetry,55f9da0c5eea2e10,Books,£33.63,£33.63,£0.00,17,0
Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,https://books.toscrape.com//media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,Three,£57.31,In stock,Poetry,b4fd5943413e089a,Books,£57.31,£57.31,£0.00,17,0
Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com//media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,Two,£26.41,In stock,Nonfiction,c8f7f0cb1abb9cac,Books,£26.41,£26.41,£0.00,17,0
Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com//media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,Five,£47.61,In stock,Fiction,b12b89017878a60d,Books,£47.61,£47.61,£0.00,17,0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com//media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,Five,£23.11,In stock,Nonfiction,c27f6e1f185b0383,Books,£23.11,£23.11,£0.00,17,0
Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,https://books.toscrape.com//media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,Two,£45.07,In stock,New Adult,acddfeab2a407640,Books,£45.07,£45.07,£0.00,16,0
When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,https://books.toscrape.com//media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,One,£31.77,In stock,Contemporary,3ecb690d1542c568,Books,£31.77,£31.77,£0.00,16,0
"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com//media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,Five,£50.27,In stock,Fiction,8d455c7539795d2a,Books,£50.27,£50.27,£0.00,16,0
Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,https://books.toscrape.com//media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,Four,£14.27,In stock,Poetry,657fe5ead67a7767,Books,£14.27,£14.27,£0.00,16,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,https://books.toscrape.com//media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,Four,£44.18,In stock,Nonfiction,d170b5a0da46380e,Books,£44.18,£44.18,£0.00,16,0
Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,https://books.toscrape.com//media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,Three,£18.78,In stock,Fantasy,7ae099f3898e0209,Books,£18.78,£18.78,£0.00,16,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,https://books.toscrape.com//media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,One,£25.52,In stock,History,9a9d6e9bc555731e,Books,£25.52,£25.52,£0.00,16,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com//media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,One,£16.28,In stock,Sequential Art,09555be379ad9253,Books,£16.28,£16.28,£0.00,16,0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,https://books.toscrape.com//media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,Three,£31.12,In stock,Nonfiction,7858914fad68493c,Books,£31.12,£31.12,£0.00,16,0
This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com//media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,Four,£19.49,In stock,Sequential Art,51653ef291ab7ddc,Books,£19.49,£19.49,£0.00,16,0
Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com//media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,Five,£17.27,In stock,Fiction,709822d0b5bcb7f4,Books,£17.27,£17.27,£0.00,16,0
The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,https://books.toscrape.com//media/cache/33/e5/33e507172541628acfd421503196b578.jpg,One,£19.09,In stock,Add a comment,4eed62cf5f8d8edf,Books,£19.09,£19.09,£0.00,16,0
The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,https://books.toscrape.com//media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,One,£56.13,In stock,Childrens,b5ea0b5dabed25a8,Books,£56.13,£56.13,£0.00,16,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,https://books.toscrape.com//media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,One,£56.41,In stock,Food and Drink,142d767a56a9254d,Books,£56.41,£56.41,£0.00,16,0
The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com//media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,Four,£56.50,In stock,Mystery,5ee94540d0749ea0,Books,£56.50,£56.50,£0.00,16,0
The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,https://books.toscrape.com//media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,Three,£45.22,In stock,Young Adult,cedf82b5086e4691,Books,£45.22,£45.22,£0.00,16,0
The Nameless City (The Nameless City #1),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com//media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,Four,£38.16,In stock,Sequential Art,7d385d34d12e60ff,Books,£38.16,£38.16,£0.00,16,0
The Murder That Never Was (Forensic Instincts #5),https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com//media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,Three,£54.11,In stock,Fiction,d01ac97e2b8947c2,Books,£54.11,£54.11,£0.00,16,0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,https://books.toscrape.com//media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,Four,£42.96,In stock,Science,aadee1c326d286e3,Books,£42.96,£42.96,£0.00,16,0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,https://books.toscrape.com//media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,Four,£23.89,In stock,Add a comment,31075275518532d7,Books,£23.89,£23.89,£0.00,16,0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,https://books.toscrape.com//media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,Three,£16.77,In stock,Nonfiction,0da9aa9d24677fc0,Books,£16.77,£16.77,£0.00,16,0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,https://books.toscrape.com//media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,Five,£20.59,In stock,Default,8c9e6bf2467d740d,Books,£20.59,£20.59,£0.00,16,0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,https://books.toscrape.com//media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,One,£37.13,In stock,Nonfiction,acd86a5426e21ca0,Books,£37.13,£37.13,£0.00,16,0
The Electric Pencil: Drawings from Inside State Hospital No. 3,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,https://books.toscrape.com//media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,One,£56.06,In stock,Nonfiction,a30b270e25489e5c,Books,£56.06,£56.06,£0.00,16,0
The Death of Humanity: and the Case for Life,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com//media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,Four,£58.11,In stock,Philosophy,bd261725b99f5983,Books,£58.11,£58.11,£0.00,16,0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,https://books.toscrape.com//media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg,Three,£49.05,In stock,Health,43c6a960757cf559,Books,£49.05,£49.05,£0.00,16,0
The Art Forger,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,https://books.toscrape.com//media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,Three,£40.76,In stock,Add a comment,80cfab6bcff3a244,Books,£40.76,£40.76,£0.00,16,0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,https://books.toscrape.com//media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,One,£19.73,In stock,History,a3d2a4250807f1e9,Books,£19.73,£19.73,£0.00,16,0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,https://books.toscrape.com//media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg,Five,£32.24,In stock,Spirituality,7d6d2a6c0276f81b,Books,£32.24,£32.24,£0.00,16,0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,https://books.toscrape.com//media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,Four,£41.83,In stock,Nonfiction,87b0615b6e1f4d7b,Books,£41.83,£41.83,£0.00,16,0
Soul Reader,https://books.toscrape.com/catalogue/soul-reader_926/index.html,https://books.toscrape.com//media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,Two,£39.58,In stock,Default,e6af5bf1163c1151,Books,£39.58,£39.58,£0.00,16,0
Security,https://books.toscrape.com/catalogue/security_925/index.html,https://books.toscrape.com//media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,Two,£39.25,In stock,Horror,6f78a0d744c35456,Books,£39.25,£39.25,£0.00,16,0
"Saga, Volume 6 (Saga (Collected Editions) #6)",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,https://books.toscrape.com//media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,Three,£25.02,In stock,Fantasy,c849f0b2f5d6a742,Books,£25.02,£25.02,£0.00,16,0
"Saga, Volume 5 (Saga (Collected Editions) #5)",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,https://books.toscrape.com//media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,Two,£51.04,In stock,Sequential Art,53a3d11bb568cc8b,Books,£51.04,£51.04,£0.00,16,0
Reskilling America: Learning to Labor in the Twenty-First Century,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,https://books.toscrape.com//media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,Two,£19.83,In stock,Nonfiction,d7310206583a54b6,Books,£19.83,£19.83,£0.00,16,0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,https://books.toscrape.com//media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,Three,£50.40,In stock,Sequential Art,c82a3e358c773c73,Books,£50.40,£50.40,£0.00,16,0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,https://books.toscrape.com//media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,Five,£13.61,In stock,Sequential Art,0fa6dceead7ce47a,Books,£13.61,£13.61,£0.00,16,0
Princess Between Worlds (Wide-Awake Princess #5),https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,https://books.toscrape.com//media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,Five,£13.34,In stock,Fantasy,0e691eda369f4e09,Books,£13.34,£13.34,£0.00,16,0
"Pop Gun War, Volume 1: Gift",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,https://books.toscrape.com//media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,One,£18.97,In stock,Sequential Art,e80f8e518b300dfe,Books,£18.97,£18.97,£0.00,16,0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,https://books.toscrape.com//media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg,Two,£36.28,In stock,History,7392c0032f92d816,Books,£36.28,£36.28,£0.00,16,0
